Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score,prediction
1,University 200,3.66,High School,Patricialand,F,1,0,0,0,Teaching Assistant,09/17,11/18,N/A,N/A,N/A,N/A,N/A,N/A,9.51,0
2,University 75,3.93,High School,New Kristopherfurt,M,0,0,1,0,Software Engineer,11/21,12/22,Network Administrator,04/17,02/21,Full-stack Developer,05/17,08/20,1.92,0
3,University 22,3.37,Phd,Davidborough,N/A,0,1,N/A,0,Network Administrator,11/22,08/24,N/A,N/A,N/A,N/A,N/A,N/A,0.51,0
4,University 5,3.74,Some College,Seanbury,F,0,0,1,4,IT Manager,11/18,04/19,Data Scientist,12/18,01/22,Business Analyst,12/17,07/18,4.98,0
5,University 152,3.27,Post-Doc,Wintersville,F,1,1,1,0,Business Analyst,02/21,04/24,Software Engineer,10/17,08/20,Developer,03/19,12/20,5.05,0
6,University 79,2.85,Bachelors,Lake Tyronetown,M,N/A,1,0,3,UX Designer,11/18,10/19,N/A,N/A,N/A,N/A,N/A,N/A,5.91,0
7,University 109,3.87,Bachelors,Howardton,N/A,0,1,N/A,0,Web Developer,03/23,08/25,N/A,N/A,N/A,N/A,N/A,N/A,3.92,0
8,University 98,3.31,Masters,Port Austin,F,1,1,N/A,4,Developer,11/20,06/24,Research Assistant,12/20,04/21,QA Analyst,11/17,05/18,3.14,0
9,University 136,3.48,Masters,Dianeborough,F,0,1,0,0,Developer,07/16,01/17,Web Developer,01/21,08/23,Research Assistant,09/18,06/22,4.97,0
10,University 92,3.89,High School,Arianastad,N/A,N/A,0,1,3,Back-end Developer,08/16,08/18,Full-stack Developer,01/23,09/26,N/A,N/A,N/A,2.37,0
11,University 34,2.98,Bachelors,Donnamouth,M,1,0,0,4,Technical Support Specialist,03/22,12/24,Business Analyst,01/21,06/24,N/A,N/A,N/A,9.81,1
12,University 186,3.91,Some College,Port Thomasfort,M,1,1,0,1,Developer,12/16,10/18,QA Analyst,03/19,10/22,Front-end Developer,01/23,09/26,9.63,1
13,University 50,2.84,Masters,Loweburgh,M,0,1,N/A,0,Data Analyst,08/21,07/22,N/A,N/A,N/A,N/A,N/A,N/A,2.16,1
14,University 69,3.84,High School,Port Gregory,F,0,1,0,4,Research Assistant,10/17,01/20,Network Administrator,06/16,09/16,N/A,N/A,N/A,8.52,0
15,University 114,3.52,Some College,Emilyhaven,M,N/A,1,N/A,3,Research Assistant,12/22,03/24,Software Engineer,11/19,08/23,Web Developer,07/17,06/20,2.5,1
16,University 4,3.38,Post-Doc,New Danny,F,N/A,0,1,3,Web Developer,03/20,01/23,QA Analyst,09/21,12/24,System Analyst,04/21,05/22,9.09,0
17,University 57,3.07,Phd,South Benjaminview,M,N/A,1,1,3,Developer,04/23,01/24,Full-stack Developer,05/19,02/23,Network Administrator,05/22,10/23,0.2,0
